"eco_values","species","longitude","latitude","occurrence_id","Temperatur","Moisture","Landcover","Landforms","Climate_Re","Red","Green","Blue","W_Ecosystm","color","elevation","occurrence_id.1","temp","precip","NDVI"
5,"Ranunculus acris",7.72898,45.98369,4096,"Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2257,1,3.5884615384615,154.846153846154,0.42812
5,"Corylus avellana",9.61378,46.323,3318,"Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2373,2,3.59615384615387,123.384615384615,0.32744
5,"Corylus avellana",8.32122,46.7003,3650,"Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2116,3,4.51153846153852,161.461538461538,0.57018
5,"Ranunculus acris",7.92735,46.52275,4145,"Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2274,4,1.45000000000005,163,0.27422
5,"Ranunculus acris",9.2288,46.46472,4168,"Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2777,5,0.696153846153891,142.307692307692,0.16326
5,"Apis mellifera",8.089635,46.418564,691,"Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2576,6,0.465384615384608,202.461538461538,0.30268
5,"Corylus avellana",9.55063,46.36919,3529,"Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2719,7,0.719230769230819,127.846153846154,0.27552
5,"Apis mellifera",7.079529,46.004354,545,"Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2563,8,1.21923076923082,182,0.33238
5,"Ranunculus acris",10.27903,46.62332,4094,"Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2572,9,1.00384615384615,87.3846153846154,0.31062
5,"Ranunculus acris",6.88935,46.07268,4099,"Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2695,10,1.46538461538461,182.923076923077,0.17592
5,"Corylus avellana",7.86079,46.3431,3396,"Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2374,11,2.3346153846154,137.307692307692,0.40868
5,"Ranunculus acris",6.95317,46.16293,4110,"Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2424,12,1.98076923076923,181.846153846154,0.12866
5,"Ranunculus acris",10.02234,46.71944,4136,"Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2606,13,0.511538461538521,119,0.39816
5,"Ranunculus acris",10.27667,46.57837,4089,"Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2576,14,0.80384615384628,88.3846153846154,0.13148
5,"Apis mellifera",9.819621,46.838108,1604,"Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",2430,15,2.42692307692312,145.230769230769,0.14254
5,"Ranunculus acris",9.81239,46.40901,4137,"Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist",156,150,138,"Polar Moist Sparsely or Non vegetated on Mountains","#9C968A",3051,16,-1.51923076923072,118.692307692308,0.0807
